commit,conf_high,conf_medium,conf_low,sev_high,sev_medium,sev_low,unique_cwes
b4bc393,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
55f71b1,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
817bc58,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
6c12050,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
f3a2509,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
4104daf,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
8d695bf,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
d5fec03,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
4968f00,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
85750bd,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
bc3f303,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
17ae61a,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
7bc88c3,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
37373d9,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
a7af1e2,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
c41d6c9,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
98767ba,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
